Country,Year,ConflictEvents,GDP,Population,Unemployment,PovertyRate,AvgTemp,Rainfall
Benin,2015,3,8670000000,10400000,1.9,40,27.5,1200
Benin,2016,2,8950000000,10600000,2.0,39,27.6,1250
Benin,2017,5,9200000000,10800000,2.1,38,27.7,1230
Benin,2018,6,9500000000,11000000,2.2,37,27.8,1220
Benin,2019,4,9800000000,11200000,2.3,36,28.0,1210
Benin,2020,8,9700000000,11400000,2.5,36,28.1,1240
Benin,2021,12,10000000000,11600000,2.7,35,28.2,1260
Benin,2022,15,10500000000,11800000,2.8,34,28.3,1270
Benin,2023,18,10800000000,12000000,2.9,33,28.4,1280
Burkina Faso,2015,25,13700000000,18000000,8.0,41,28.5,900
Burkina Faso,2016,30,14000000000,18200000,8.2,40,28.6,880
Burkina Faso,2017,50,14500000000,18500000,8.5,39,28.7,860
Burkina Faso,2018,75,15000000000,18800000,8.8,38,28.8,870
Burkina Faso,2019,120,15500000000,19100000,9.0,37,29.0,880
Burkina Faso,2020,250,15000000000,19400000,9.5,37,29.1,890
Burkina Faso,2021,400,16000000000,19700000,10.0,36,29.2,900
Burkina Faso,2022,520,17000000000,20000000,10.2,35,29.3,910
Burkina Faso,2023,600,18000000000,20300000,10.5,34,29.4,920
Cabo Verde,2015,0,1800000000,530000,12.0,27,25.0,350
Cabo Verde,2016,0,1850000000,540000,12.0,26,25.1,360
Cabo Verde,2017,0,1900000000,550000,12.0,26,25.1,355
Cabo Verde,2018,0,1950000000,560000,12.0,25,25.2,360
Cabo Verde,2019,0,2000000000,570000,11.0,25,25.3,365
Cabo Verde,2020,0,1980000000,580000,11.0,25,25.4,370
Cabo Verde,2021,0,2050000000,590000,10.0,24,25.5,375
Cabo Verde,2022,0,2100000000,600000,10.0,23,25.6,380
Cabo Verde,2023,0,2150000000,610000,9.0,22,25.7,385
Côte d’Ivoire,2015,15,30000000000,23000000,5.5,46,27.0,1500
Côte d’Ivoire,2016,12,32000000000,23500000,5.6,45,27.1,1480
Côte d’Ivoire,2017,10,34000000000,24000000,5.7,44,27.2,1470
Côte d’Ivoire,2018,18,36000000000,24500000,5.8,43,27.3,1460
Côte d’Ivoire,2019,25,38000000000,25000000,6.0,42,27.4,1450
Côte d’Ivoire,2020,30,37000000000,25500000,6.2,42,27.5,1460
Côte d’Ivoire,2021,35,40000000000,26000000,6.5,41,27.6,1470
Côte d’Ivoire,2022,40,42000000000,26500000,6.7,40,27.7,1480
Côte d’Ivoire,2023,42,44000000000,27000000,6.8,39,27.8,1490
Gambia,2015,2,1100000000,1900000,7.5,48,26.5,1100
Gambia,2016,1,1120000000,1950000,7.6,47,26.6,1120
Gambia,2017,1,1150000000,2000000,7.7,46,26.6,1110
Gambia,2018,2,1180000000,2050000,7.8,45,26.7,1120
Gambia,2019,2,1200000000,2100000,8.0,44,26.8,1130
Gambia,2020,3,1180000000,2150000,8.2,44,26.9,1140
Gambia,2021,3,1230000000,2200000,8.5,43,27.0,1150
Gambia,2022,2,1250000000,2250000,8.7,42,27.1,1160
Gambia,2023,2,1280000000,2300000,8.8,41,27.2,1170
Ghana,2015,5,40000000000,27000000,5.0,23,27.0,1200
Ghana,2016,4,42000000000,27300000,5.1,22,27.1,1210
Ghana,2017,4,44000000000,27600000,5.2,21,27.2,1220
Ghana,2018,5,46000000000,28000000,5.3,21,27.3,1230
Ghana,2019,5,48000000000,28400000,5.4,20,27.4,1240
Ghana,2020,6,47000000000,28800000,5.6,20,27.5,1250
Ghana,2021,6,50000000000,29200000,5.8,19,27.6,1260
Ghana,2022,8,52000000000,29600000,5.9,18,27.7,1270
Ghana,2023,10,54000000000,30000000,5.9,17,27.8,1280
Guinea,2015,6,9000000000,11500000,2.0,35,26.5,1300
Guinea,2016,6,9200000000,11600000,2.1,34,26.6,1310
Guinea,2017,8,9500000000,11800000,2.2,33,26.7,1320
Guinea,2018,8,9800000000,12000000,2.3,32,26.8,1330
Guinea,2019,10,10000000000,12200000,2.4,31,26.9,1340
Guinea,2020,12,9900000000,12400000,2.5,31,27.0,1350
Guinea,2021,14,10200000000,12600000,2.6,30,27.1,1360
Guinea,2022,15,10500000000,12800000,2.7,29,27.2,1370
Guinea,2023,18,10800000000,13000000,2.8,28,27.3,1380
Guinea-Bissau,2015,1,1500000000,1600000,8.0,42,27.0,1200
Guinea-Bissau,2016,1,1550000000,1620000,8.1,41,27.1,1210
Guinea-Bissau,2017,2,1600000000,1640000,8.2,41,27.2,1220
Guinea-Bissau,2018,2,1650000000,1660000,8.3,40,27.3,1230
Guinea-Bissau,2019,2,1700000000,1680000,8.4,39,27.4,1240
Guinea-Bissau,2020,2,1680000000,1700000,8.5,39,27.5,1250
Guinea-Bissau,2021,2,1720000000,1720000,8.6,38,27.6,1260
Guinea-Bissau,2022,2,1750000000,1740000,8.7,37,27.7,1270
Guinea-Bissau,2023,2,1780000000,1760000,8.8,36,27.8,1280
Liberia,2015,3,3000000000,4500000,3.0,35,26.5,1300
Liberia,2016,2,3100000000,4550000,3.1,34,26.6,1310
Liberia,2017,2,3200000000,4600000,3.2,33,26.7,1320
Liberia,2018,3,3300000000,4650000,3.3,32,26.8,1330
Liberia,2019,3,3400000000,4700000,3.4,31,26.9,1340
Liberia,2020,3,3350000000,4750000,3.5,31,27.0,1350
Liberia,2021,3,3450000000,4800000,3.6,30,27.1,1360
Liberia,2022,4,3550000000,4850000,3.7,29,27.2,1370
Liberia,2023,4,3650000000,4900000,3.8,28,27.3,1380
Mali,2015,50,15000000000,18000000,7.0,42,29.0,800
Mali,2016,60,15500000000,18200000,7.2,41,29.1,820
Mali,2017,80,16000000000,18500000,7.5,40,29.2,840
Mali,2018,100,16500000000,18800000,7.8,39,29.3,860
Mali,2019,150,17000000000,19100000,8.0,38,29.4,880
Mali,2020,220,16500000000,19400000,8.5,38,29.5,900
Mali,2021,350,17500000000,19700000,8.8,37,29.6,920
Mali,2022,450,18500000000,20000000,9.0,36,29.7,940
Mali,2023,500,19000000000,20300000,9.2,35,29.8,960
Niger,2015,10,9000000000,18000000,6.0,45,29.5,600
