Country,Year,GDP,Population,Unemployment,PovertyRate
Benin,2015,8670000000,10400000,1.9,40
Benin,2016,8950000000,10600000,2.0,39
Benin,2017,9200000000,10800000,2.1,38
Benin,2018,9500000000,11000000,2.2,37
Benin,2019,9800000000,11200000,2.3,36
Benin,2020,9700000000,11400000,2.5,36
Benin,2021,10000000000,11600000,2.7,35
Benin,2022,10500000000,11800000,2.8,34
Benin,2023,10800000000,12000000,2.9,33
Burkina Faso,2015,13700000000,18000000,8.0,41
Burkina Faso,2016,14000000000,18200000,8.2,40
Burkina Faso,2017,14500000000,18500000,8.5,39
Burkina Faso,2018,15000000000,18800000,8.8,38
Burkina Faso,2019,15500000000,19100000,9.0,37
Burkina Faso,2020,15000000000,19400000,9.5,37
Burkina Faso,2021,16000000000,19700000,10.0,36
Burkina Faso,2022,17000000000,20000000,10.2,35
Burkina Faso,2023,18000000000,20300000,10.5,34
Cabo Verde,2015,1800000000,530000,12,27
Cabo Verde,2016,1850000000,540000,12,26
Cabo Verde,2017,1900000000,550000,12,26
Cabo Verde,2018,1950000000,560000,12,25
Cabo Verde,2019,2000000000,570000,11,25
Cabo Verde,2020,1980000000,580000,11,25
Cabo Verde,2021,2050000000,590000,10,24
Cabo Verde,2022,2100000000,600000,10,23
Cabo Verde,2023,2150000000,610000,9,22
Côte d’Ivoire,2015,30000000000,23000000,5.5,46
Côte d’Ivoire,2016,32000000000,23500000,5.6,45
Côte d’Ivoire,2017,34000000000,24000000,5.7,44
Côte d’Ivoire,2018,36000000000,24500000,5.8,43
Côte d’Ivoire,2019,38000000000,25000000,6.0,42
Côte d’Ivoire,2020,37000000000,25500000,6.2,42
Côte d’Ivoire,2021,40000000000,26000000,6.5,41
Côte d’Ivoire,2022,42000000000,26500000,6.7,40
Côte d’Ivoire,2023,44000000000,27000000,6.8,39
Gambia,2015,1100000000,1900000,7.5,48
Gambia,2016,1120000000,1950000,7.6,47
Gambia,2017,1150000000,2000000,7.7,46
Gambia,2018,1180000000,2050000,7.8,45
Gambia,2019,1200000000,2100000,8.0,44
Gambia,2020,1180000000,2150000,8.2,44
Gambia,2021,1230000000,2200000,8.5,43
Gambia,2022,1250000000,2250000,8.7,42
Gambia,2023,1280000000,2300000,8.8,41
Ghana,2015,40000000000,27000000,5.0,23
Ghana,2016,42000000000,27300000,5.1,22
Ghana,2017,44000000000,27600000,5.2,21
Ghana,2018,46000000000,28000000,5.3,21
Ghana,2019,48000000000,28400000,5.4,20
Ghana,2020,47000000000,28800000,5.6,20
Ghana,2021,50000000000,29200000,5.8,19
Ghana,2022,52000000000,29600000,5.9,18
Ghana,2023,54000000000,30000000,5.9,17
Guinea,2015,9000000000,11500000,2.0,35
Guinea,2016,9200000000,11600000,2.1,34
Guinea,2017,9500000000,11800000,2.2,33
Guinea,2018,9800000000,12000000,2.3,32
Guinea,2019,10000000000,12200000,2.4,31
Guinea,2020,9900000000,12400000,2.5,31
Guinea,2021,10200000000,12600000,2.6,30
Guinea,2022,10500000000,12800000,2.7,29
Guinea,2023,10800000000,13000000,2.8,28
Guinea-Bissau,2015,1500000000,1600000,8.0,42
Guinea-Bissau,2016,1550000000,1620000,8.1,41
Guinea-Bissau,2017,1600000000,1640000,8.2,41
Guinea-Bissau,2018,1650000000,1660000,8.3,40
Guinea-Bissau,2019,1700000000,1680000,8.4,39
Guinea-Bissau,2020,1680000000,1700000,8.5,39
Guinea-Bissau,2021,1720000000,1720000,8.6,38
Guinea-Bissau,2022,1750000000,1740000,8.7,37
Guinea-Bissau,2023,1780000000,1760000,8.8,36
Liberia,2015,3000000000,4500000,3.0,35
Liberia,2016,3100000000,4550000,3.1,34
Liberia,2017,3200000000,4600000,3.2,33
Liberia,2018,3300000000,4650000,3.3,32
Liberia,2019,3400000000,4700000,3.4,31
Liberia,2020,3350000000,4750000,3.5,31
Liberia,2021,3450000000,4800000,3.6,30
Liberia,2022,3550000000,4850000,3.7,29
Liberia,2023,3650000000,4900000,3.8,28
Mali,2015,15000000000,18000000,7.0,42
Mali,2016,15500000000,18200000,7.2,41
Mali,2017,16000000000,18500000,7.5,40
Mali,2018,16500000000,18800000,7.8,39
Mali,2019,17000000000,19100000,8.0,38
Mali,2020,16500000000,19400000,8.5,38
Mali,2021,17500000000,19700000,8.8,37
Mali,2022,18500000000,20000000,9.0,36
Mali,2023,19000000000,20300000,9.2,35
Niger,2015,9000000000,18000000,6.0,45
Niger,2016,9200000000,18200000,6.1,44
Niger,2017,9500000000,18500000,6.3,43
Niger,2018,9800000000,18800000,6.5,42
Niger,2019,10000000000,19100000,6.8,41
Niger,2020,9900000000,19400000,7.0,41
Niger,2021,10200000000,19700000,7.2,40
Niger,2022,10500000000,20000000,7.3,39
Niger,2023,10800000000,20300000,7.5,38
Nigeria,2015,500000000000,182000000,6.0,40
Nigeria,2016,510000000000,185000000,6.2,39
Nigeria,2017,520000000000,188000000,6.5,38
Nigeria,2018,530000000000,191000000,6.7,37
Nigeria,2019,540000000000,194000000,7.0,36
Nigeria,2020,530000000000,197000000,7.2,36
Nigeria,2021,550000000000,200000000,7.5,35
Nigeria,2022,570000000000,203000000,7.8,34
Nigeria,2023,590000000000,206000000,8.0,33
Senegal,2015,15000000000,15000000,5.0,34
Senegal,2016,15500000000,15200000,5.1,33
Senegal,2017,16000000000,15400000,5.2,32
Senegal,2018,16500000000,15600000,5.3,31
Senegal,2019,17000000000,15800000,5.4,30
Senegal,2020,16500000000,16000000,5.6,30
Senegal,2021,17500000000,16200000,5.8,29
Senegal,2022,18500000000,16400000,6.0,28
Senegal,2023,19000000000,16600000,6.1,27
Sierra Leone,2015,4000000000,7000000,4.0,40
Sierra Leone,2016,4200000000,7100000,4.1,39
Sierra Leone,2017,4400000000,7200000,4.2,38
Sierra Leone,2018,4600000000,7300000,4.3,37
Sierra Leone,2019,4800000000,7400000,4.4,36
Sierra Leone,2020,4700000000,7500000,4.5,36
Sierra Leone,2021,4900000000,7600000,4.6,35
Sierra Leone,2022,5100000000,7700000,4.7,34
Sierra Leone,2023,5300000000,7800000,4.8,33
Togo,2015,5000000000,7000000,2.0,36
Togo,2016,5200000000,7100000,2.1,35
Togo,2017,5400000000,7200000,2.2,34
Togo,2018,5600000000,7300000,2.3,33
Togo,2019,5800000000,7400000,2.4,32
Togo,2020,5700000000,7500000,2.5,32
Togo,2021,5900000000,7600000,2.6,31
Togo,2022,6100000000,7700000,2.7,30
Togo,2023,6300000000,7800000,2.8,29
Mauritania,2015,5000000000,4000000,8.0,35
Mauritania,2016,5100000000,4100000,8.2,34
Mauritania,2017,5200000000,4200000,8.3,33
Mauritania,2018,5300000000,4300000,8.4,32
Mauritania,2019,5400000000,4400000,8.5,31
Mauritania,2020,5300000000,4500000,8.6,31
Mauritania,2021,5500000000,4600000,8.7,30
Mauritania,2022,5700000000,4700000,8.8,29
Mauritania,2023,5900000000,4800000,8.9,28
